代码	名称	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	
000651	格力电器	0.79	52.61	0.41	52.60	52.61	96289	259	0.69	          0.16	51.55	52.71	51.55	52.20	    10.73	501908224	  1.28	家用电器	广东	2.22	52.13	44092	52197	  0.84	355	2	--  	19451200	
601988	中国银行	0.57	3.50	0.02	3.49	3.50	181974	7	0.00	          0.01	3.49	3.51	3.48	3.48	     5.50	63681048	  1.39	银行	北京	0.86	3.50	58198	123776	  0.47	76734	72585	--  	3463100	
601390	中国中铁	1.30	5.45	0.07	5.45	5.46	392796	65	-0.17	          0.21	5.38	5.50	5.36	5.38	     5.66	214269472	  2.21	建筑工程	北京	2.60	5.45	155057	237739	  0.65	1723	6917	--  	3986600	
002060	粤 水 电	-1.29	3.06	-0.04	3.06	3.07	107756	60	-0.32	          0.90	3.08	3.11	3.04	3.10	    23.37	33056640	  1.51	建筑工程	广东	2.26	3.07	70951	36805	  1.93	1865	1532	--  	1005900	
600016	民生银行	0.35	5.73	0.02	5.73	5.74	193503	100	-0.16	          0.05	5.70	5.75	5.70	5.71	     4.66	110900320	  1.24	银行	北京	0.88	5.73	72152	121351	  0.59	1486	22458	--  	4764900	
601628	中国人寿	0.65	26.51	0.17	26.49	26.51	22259	3	0.04	          0.01	26.10	26.63	26.10	26.34	    12.86	58797996	  0.86	保险	北京	2.01	26.42	10906	11353	  0.96	100	7	--  	1233600	
601928	凤凰传媒	0.61	6.55	0.04	6.54	6.55	11200	10	0.00	          0.04	6.50	6.55	6.46	6.51	    10.98	7293956	  1.38	出版业	江苏	1.38	6.51	3231	7969	  0.41	329	209	--  	27300	
002183	怡 亚 通	0.52	3.87	0.02	3.87	3.88	47949	40	-0.25	          0.23	3.85	3.90	3.81	3.85	    86.68	18496298	  1.01	仓储物流	深圳	2.34	3.86	25172	22777	  1.11	215	801	--  	323800	
600415	小商品城	0.91	3.34	0.03	3.34	3.35	30615	65	-0.29	          0.06	3.33	3.36	3.30	3.31	    13.34	10232162	  1.63	商品城	浙江	1.81	3.34	8025	22590	  0.36	946	1954	--  	64900	
600887	伊利股份	-1.31	29.47	-0.39	29.47	29.48	198327	81	0.07	          0.34	29.49	29.86	29.30	29.86	    23.81	585357184	  2.25	乳制品	内蒙	1.88	29.51	103051	95276	  1.08	12	526	--  	23931102	
600383	金地集团	-0.14	14.07	-0.02	14.07	14.08	57802	2	0.07	          0.13	13.87	14.21	13.87	14.09	     8.78	81266576	  1.02	全国地产	深圳	2.41	14.06	27400	30402	  0.90	22	339	--  	2117800	
600048	保利地产	0.67	14.97	0.10	14.96	14.97	213809	4	-0.19	          0.18	14.90	15.11	14.79	14.87	    10.44	320170656	  1.72	全国地产	广东	2.15	14.97	93774	120035	  0.78	44	7	--  	7208200	
000027	深圳能源	0.56	5.41	0.03	5.41	5.42	12378	5	0.00	          0.03	5.38	5.42	5.37	5.38	     9.39	6684517	  1.26	火力发电	深圳	0.93	5.40	3050	9328	  0.33	55	431	--  	32300	
600580	卧龙电驱	4.75	10.81	0.49	10.79	10.81	129440	25	0.46	          1.00	10.46	10.89	10.41	10.32	    13.01	138059936	  3.82	电气设备	浙江	4.65	10.67	60087	69353	  0.87	23	269	--  	2806400	
000776	广发证券	1.02	13.82	0.14	13.81	13.82	48283	25	0.00	          0.08	13.68	13.84	13.65	13.68	    13.97	66544596	  1.19	证券	广东	1.39	13.78	20083	28200	  0.71	227	210	--  	2474700	
601668	中国建筑	0.19	5.28	0.01	5.28	5.29	275964	23	-0.18	          0.07	5.24	5.33	5.24	5.27	     5.54	146225136	  0.92	建筑工程	北京	1.71	5.30	105489	170475	  0.62	7030	4179	--  	4205600	
600737	中粮糖业	-3.83	8.79	-0.35	8.78	8.79	211092	30	0.69	          1.03	9.01	9.02	8.67	9.14	    23.93	186825632	  3.40	食品	新疆	3.83	8.85	118122	92970	  1.27	80	152	--  	5766400	
002340	格林美	3.01	4.79	0.14	4.79	4.80	342374	102	0.00	          0.83	4.70	4.82	4.66	4.65	    24.70	163390112	  3.06	小金属	深圳	3.44	4.77	145037	197337	  0.73	8	10321	--  	2529800	
002246	北化股份	-0.67	7.36	-0.05	7.35	7.36	12858	2	0.14	          0.29	7.37	7.41	7.31	7.41	    28.02	9443108	  1.14	化工原料	四川	1.35	7.34	9382	3476	  2.70	241	333	--  	91400	
000001	平安银行	1.17	12.95	0.15	12.95	12.96	175925	539	0.08	          0.09	12.86	13.06	12.82	12.80	     8.91	228334800	  1.31	银行	深圳	1.87	12.98	89496	86429	  1.04	163	1	--  	5793600	
600063	皖维高新	0.54	3.73	0.02	3.73	3.74	34179	48	0.00	          0.18	3.72	3.74	3.70	3.71	    17.89	12717773	  1.11	化纤	安徽	1.08	3.72	15237	18942	  0.80	38	1959	--  	119000	
601918	新集能源	0.37	2.73	0.01	2.73	2.74	32512	3	-0.35	          0.13	2.73	2.75	2.72	2.72	     2.74	8889718	  1.73	煤炭开采	安徽	1.10	2.73	14407	18105	  0.80	963	2581	--  	18800	
